Genesis,gen,50
Exodus,ex,40
Leviticus,lev,27
Numbers,num,36
Deuteronomy,deut,34
Joshua,josh,24
Judges,judg,21
Ruth,ruth,4
1 Samuel,1-sam,31
2 Samuel,2-sam,24
1 Kings,1-kgs,22
2 Kings,2-kgs,25
1 Chronicles,1-chr,29
2 Chronicles,2-chr,36
Ezra,ezra,10
Nehemiah,neh,13
Esther,esth,10
Job,job,42
Psalms,ps,150
Proverbs,prov,31
Ecclesiastes,eccl,12
Isaiah,isa,66
Jeremiah,jer,52
Lamentations,lam,5
Ezekiel,ezek,48
Daniel,dan,12
Hosea,hosea,14
Joel,joel,3
Amos,amos,9
Obadiah,obad,1
Jonah,jonah,4
Micah,micah,7
Nahum,nahum,3
Habakkuk,hab,3
Zephaniah,zeph,3
Haggai,hag,2
Zechariah,zech,14
Malachi,mal,4
